#"Step","Potential Energy (kJ/mole)","Temperature (K)"
603,0.0,17.6176194707
604,0.0,12.8550065043
605,0.0,15.9763682615
606,0.0,16.0434922779
607,0.0,13.6381817811
608,0.0,15.0680858529
609,0.0,16.7329050736
610,0.0,9.87549729322
611,0.0,13.6751240626
612,0.0,26.8729192992
613,0.0,42.0191028947
614,0.0,51.4686617831
615,0.0,38.7465907187
616,0.0,36.156339519
617,0.0,35.4938422429
618,0.0,32.1961930579
619,0.0,42.6834127226
620,0.0,47.9902201708
621,0.0,47.2681088673
622,0.0,33.9909400141
623,0.0,30.7975263067
624,0.0,34.600899123
625,0.0,39.0648093928
626,0.0,35.6461966949
627,0.0,33.8732042349
628,0.0,30.4636889018
629,0.0,29.3279074776
630,0.0,32.1826212736
631,0.0,25.4217077555
632,0.0,26.4712877817
633,0.0,27.8613753663
634,0.0,38.919404636
635,0.0,51.3306682276
636,0.0,35.07702863
637,0.0,29.7784863019
638,0.0,23.4857469475
639,0.0,32.8552565264
640,0.0,35.913257976
641,0.0,40.4921635763
642,0.0,48.8394030764
643,0.0,38.8096278791
644,0.0,40.3737113868
645,0.0,33.6624920389
646,0.0,39.4130893754
647,0.0,26.889641804
648,0.0,41.5833452389
649,0.0,38.0746943226
650,0.0,37.0729425063
651,0.0,46.6760711605
652,0.0,64.4355541889
653,0.0,75.6794713144
654,0.0,71.639665125
655,0.0,79.1317877072
656,0.0,92.9646836116
657,0.0,77.6955966228
658,0.0,60.1285994617
659,0.0,73.5419372948
660,0.0,71.0626784735
661,0.0,91.9354409768
662,0.0,91.8433308415
663,0.0,89.6999664789
664,0.0,95.5403740591
665,0.0,100.768584495
666,0.0,70.2679156193
667,0.0,82.5544492016
668,0.0,97.0151660881
669,0.0,82.1980780999
670,0.0,86.4860137142
671,0.0,81.1458583604
672,0.0,84.8678252144
673,0.0,74.4027577405
674,0.0,85.9932135888
675,0.0,75.7739821263
676,0.0,74.8341382574
677,0.0,77.6465405973
678,0.0,101.784446808
679,0.0,107.415464425
680,0.0,117.196905073
681,0.0,111.660931184
682,0.0,108.072247491
683,0.0,98.6792160127
684,0.0,97.7166316466
685,0.0,82.1162739081
686,0.0,90.8459619718
687,0.0,72.8695050872
688,0.0,78.8798274713
689,0.0,60.2483670054
690,0.0,60.2662155686
691,0.0,65.6932002449
692,0.0,61.9056364784
693,0.0,69.9102213578
694,0.0,70.9301557512
695,0.0,67.6735442791
696,0.0,57.1487231531
697,0.0,63.2420923577
698,0.0,48.818964216
699,0.0,62.1484439729
700,0.0,56.4197569216
701,0.0,83.1333474086
702,0.0,73.0384956177
703,0.0,73.7911280377
704,0.0,84.7233160999
705,0.0,77.1362380439
706,0.0,75.8385017954
707,0.0,94.6195897129
708,0.0,98.0155401189
709,0.0,87.8841747376
710,0.0,94.6713107206
711,0.0,97.6735665556
712,0.0,96.2944363855
713,0.0,88.2233384811
714,0.0,98.3881876141
715,0.0,113.342197091
716,0.0,109.153459461
717,0.0,115.098143947
718,0.0,112.157899492
719,0.0,113.826162766
720,0.0,95.344243113
721,0.0,88.5920432153
722,0.0,77.6406173222
723,0.0,74.2771172523
724,0.0,89.4218514929
725,0.0,96.0183812653
726,0.0,103.786881637
727,0.0,110.928519513
728,0.0,135.055159886
729,0.0,115.977226272
730,0.0,107.944495293
731,0.0,104.34023946
732,0.0,93.3365390756
733,0.0,76.051084581
734,0.0,57.5858346665
735,0.0,52.0815675097
736,0.0,47.6613480364
737,0.0,49.3534533279
738,0.0,41.6184610877
739,0.0,32.5516100749
740,0.0,33.0600711914
741,0.0,42.0905291126
742,0.0,43.2368759375
743,0.0,45.5743354688
744,0.0,61.9906038345
745,0.0,75.5705318721
746,0.0,63.2614551946
747,0.0,59.8793432839
748,0.0,58.6471108771
749,0.0,42.8496334963
750,0.0,46.2972757048
751,0.0,49.4131399666
752,0.0,46.487226782
753,0.0,41.4401846135
754,0.0,43.8447390633
755,0.0,50.2176076662
756,0.0,46.2643217129
757,0.0,46.1543459394
758,0.0,39.0964691982
759,0.0,40.2448589212
760,0.0,46.5501706008
761,0.0,31.6587764031
762,0.0,37.3646307457
763,0.0,33.9998931896
764,0.0,38.3825548781
765,0.0,49.1324215365
766,0.0,44.2707652116
767,0.0,47.9710766358
768,0.0,44.2780318528
769,0.0,59.5038062553
770,0.0,42.102631226
771,0.0,42.5557470193
772,0.0,39.1793711527
773,0.0,46.0245722935
774,0.0,47.4060576381
775,0.0,54.3875890653
776,0.0,74.8460547632
777,0.0,68.204634185
778,0.0,78.8551569781
779,0.0,71.1421604348
780,0.0,63.9486525583
781,0.0,47.726493398
782,0.0,58.9408722673
783,0.0,53.9549596147
784,0.0,43.5253865416
785,0.0,49.5779390434
786,0.0,56.2508705861
787,0.0,48.0062074754
788,0.0,34.5165893307
789,0.0,37.4128598417
790,0.0,43.5490245239
791,0.0,35.3082891249
792,0.0,29.3554752127
793,0.0,21.3850126263
794,0.0,28.553443261
795,0.0,36.9102636272
796,0.0,42.3881765177
797,0.0,34.3512546234
798,0.0,29.2118579012
799,0.0,26.4575411883
800,0.0,30.7148294926
801,0.0,35.2930692747
802,0.0,27.9909057377
803,0.0,26.5828697442
804,0.0,25.0402414854
805,0.0,15.9415617536
806,0.0,19.2405719706
807,0.0,15.6354063883
808,0.0,12.9215014256
809,0.0,10.3178078596
810,0.0,7.47963077873
811,0.0,7.73965396271
812,0.0,14.8617986006
813,0.0,8.0145726948
814,0.0,8.86694289133
815,0.0,16.2194023012
816,0.0,13.7762071207
817,0.0,12.0377738812
818,0.0,14.9392397463
819,0.0,20.8154677997
820,0.0,27.3328860788
821,0.0,35.6110774914
822,0.0,34.5906287491
823,0.0,33.2216957744
824,0.0,31.9539414885
825,0.0,18.9552678939
826,0.0,15.5726257397
827,0.0,16.8604206381
828,0.0,15.6413779176
829,0.0,10.3330815882
830,0.0,10.5953094068
831,0.0,8.83863316848
832,0.0,7.39793050932
833,0.0,11.6672930382
834,0.0,16.1241809556
835,0.0,18.853222925
836,0.0,14.8197104967
837,0.0,12.9998078301
838,0.0,15.2514959122
839,0.0,21.9544135841
840,0.0,17.2081339407
841,0.0,12.6062610527
842,0.0,11.5765753286
843,0.0,8.55664109418
844,0.0,12.005867147
845,0.0,14.1822534152
846,0.0,7.93969891487
847,0.0,7.82643644252
848,0.0,3.98351246324
849,0.0,5.28838126919
850,0.0,5.62862802002
851,0.0,10.4421389798
852,0.0,7.97183963309
853,0.0,11.0073244286
854,0.0,13.6002986525
855,0.0,11.1784507264
856,0.0,12.0070038162
857,0.0,10.9423022026
858,0.0,16.8197037464
859,0.0,21.1682494411
860,0.0,16.5323006231
861,0.0,16.8881726758
862,0.0,20.7060214566
863,0.0,27.133334526
864,0.0,27.4106010567
865,0.0,23.3162468585
866,0.0,15.4603858506
867,0.0,10.8947662813
868,0.0,18.5358264374
869,0.0,8.46500422815
870,0.0,8.06496244203
871,0.0,12.4583653292
872,0.0,17.4574243041
873,0.0,16.1754513792
874,0.0,19.031595328
875,0.0,13.8540782736
876,0.0,28.0619430256
877,0.0,21.2314669713
878,0.0,24.8330156825
879,0.0,21.9884879652
880,0.0,29.8199987706
881,0.0,28.4908003777
882,0.0,26.5091195893
883,0.0,26.0110568839
884,0.0,20.886916074
885,0.0,18.0803238801
886,0.0,12.1456023516
887,0.0,17.0550327257
888,0.0,9.53586193885
889,0.0,8.0965909574
890,0.0,9.07983697038
891,0.0,16.251063863
892,0.0,16.2241079636
893,0.0,18.226613646
894,0.0,26.2695717698
895,0.0,34.560140664
896,0.0,27.4792530338
897,0.0,25.9433601172
898,0.0,20.1209535391
899,0.0,16.1145666726
900,0.0,8.91494901323
901,0.0,13.0311352908
902,0.0,20.0385195437
903,0.0,21.740875255
904,0.0,10.0352528785
905,0.0,10.1950200327
906,0.0,16.599443196
907,0.0,15.5896406841
908,0.0,16.9198257525
909,0.0,15.4738844088
910,0.0,10.646486568
911,0.0,6.51756630352
912,0.0,4.91245296295
913,0.0,5.58585289512
914,0.0,5.62620202001
915,0.0,5.12614473005
916,0.0,5.16438338301
917,0.0,9.19144464059
918,0.0,4.6800806745
919,0.0,3.06751472559
920,0.0,7.55727346352
921,0.0,7.89024883722
922,0.0,12.9718730289
923,0.0,12.9862195182
924,0.0,21.4414083001
925,0.0,25.038682672
926,0.0,25.2502318097
927,0.0,23.3264642171
928,0.0,25.1760454351
929,0.0,32.8873057278
930,0.0,37.7984064703
931,0.0,52.093816465
932,0.0,50.854061893
933,0.0,42.8581002183
934,0.0,40.4422787407
935,0.0,50.0411188577
936,0.0,51.9620992043
937,0.0,59.8328918269
938,0.0,63.1532832225
939,0.0,48.3267935006
940,0.0,45.7109806683
941,0.0,53.4315103216
942,0.0,59.9253420354
943,0.0,65.614911802
944,0.0,66.228879019
945,0.0,51.904150513
946,0.0,60.9781245847
947,0.0,52.6452040081
948,0.0,42.6295110342
949,0.0,34.7004958867
950,0.0,42.6998746393
951,0.0,34.8145397348
952,0.0,32.4090059116
953,0.0,40.9627816266
954,0.0,39.8146739182
955,0.0,45.6456254292
956,0.0,43.1962735993
957,0.0,41.2467226152
958,0.0,49.3567042451
959,0.0,55.9750043661
960,0.0,57.7414732093
961,0.0,68.7233307223
962,0.0,88.9419542005
963,0.0,94.5856104599
964,0.0,120.752263221
965,0.0,99.4843210925
966,0.0,111.158203754
967,0.0,113.586855253
968,0.0,114.762730138
969,0.0,108.255146624
970,0.0,114.850252699
971,0.0,136.160750566
972,0.0,128.99451432
973,0.0,125.97240327
974,0.0,121.108457656
975,0.0,111.418038811
976,0.0,107.186298282
977,0.0,91.3255010654
978,0.0,73.4831157244
979,0.0,85.2376874615
980,0.0,93.7239108507
981,0.0,90.6787215091
982,0.0,75.7298684087
983,0.0,91.0928093563
984,0.0,88.6605101085
985,0.0,70.934365636
986,0.0,78.5572071877
987,0.0,57.0052846014
988,0.0,74.4525712734
989,0.0,60.9500399348
990,0.0,80.26653985
991,0.0,86.3453509545
992,0.0,83.6077175402
993,0.0,88.8838565249
994,0.0,87.2205224444
995,0.0,93.0055745251
996,0.0,90.2170880257
997,0.0,109.746122833
998,0.0,114.23853918
999,0.0,130.206662631
1000,0.0,135.267167544
1001,0.0,104.032567849
1002,0.0,92.7106174849
1003,0.0,106.677867982
1004,0.0,142.676006014
1005,0.0,131.406048643
1006,0.0,149.919452171
1007,0.0,136.008058617
1008,0.0,155.833942057
1009,0.0,139.055194437
1010,0.0,168.228262297
1011,0.0,182.395096445
1012,0.0,174.265858037
1013,0.0,174.936157851
1014,0.0,187.293913107
1015,0.0,183.967499793
1016,0.0,222.94264344
1017,0.0,249.309741149
1018,0.0,244.830935966
1019,0.0,255.872884905
1020,0.0,262.332338855
1021,0.0,250.058926817
1022,0.0,287.521600499
1023,0.0,308.348834576
1024,0.0,328.431074037
1025,0.0,345.958600086
1026,0.0,338.034668096
1027,0.0,387.5521159
1028,0.0,393.623584535
1029,0.0,374.982102725
1030,0.0,350.812785536
1031,0.0,409.182776236
1032,0.0,464.625547712
1033,0.0,482.608723336
1034,0.0,466.052151884
1035,0.0,455.828573427
1036,0.0,468.327454687
1037,0.0,475.596750291
1038,0.0,512.673363547
1039,0.0,508.644065802
1040,0.0,528.065860132
1041,0.0,485.136512405
1042,0.0,494.653869421
1043,0.0,531.910939303
1044,0.0,562.11060032
1045,0.0,546.917641632
1046,0.0,562.125834879
1047,0.0,538.526109558
1048,0.0,544.375800037
1049,0.0,467.96319636
1050,0.0,454.590720693
1051,0.0,420.675578307
1052,0.0,408.313640078
1053,0.0,410.996446375
1054,0.0,425.930545503
1055,0.0,410.302305276
1056,0.0,379.24839068
1057,0.0,356.143575957
1058,0.0,348.572718673
1059,0.0,405.478161891
1060,0.0,437.592463474
1061,0.0,430.200110396
1062,0.0,399.125416524
1063,0.0,369.551011137
1064,0.0,366.209701808
1065,0.0,404.005863063
1066,0.0,407.969461098
1067,0.0,374.148234895
1068,0.0,328.803338336
1069,0.0,334.034210821
1070,0.0,360.971328837
1071,0.0,385.256131948
1072,0.0,388.657074313
1073,0.0,405.90662569
1074,0.0,378.415146975
1075,0.0,359.477532739
1076,0.0,371.059991231
1077,0.0,340.569602047
1078,0.0,365.862450613
1079,0.0,397.656629312
1080,0.0,357.922872981
1081,0.0,380.203650805
1082,0.0,382.390628059
1083,0.0,397.268859953
1084,0.0,404.867510258
1085,0.0,378.273202388
1086,0.0,369.25572098
1087,0.0,404.868136402
1088,0.0,408.568520812
1089,0.0,382.374689181
1090,0.0,393.265748215
1091,0.0,389.20050655
1092,0.0,437.856570488
1093,0.0,472.552849761
