#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
230,-518.379635625,65.8004717277,-452.579163897,2637.98943972
231,-502.102898408,49.5105228881,-452.59237552,1984.91337683
232,-483.327811731,30.3975358356,-452.930275896,1218.65962997
233,-466.618236308,15.5954664758,-451.022769833,625.233752743
234,-458.696637904,8.61219750514,-450.084440399,345.269349517
235,-463.021197526,11.9878541038,-451.033343422,480.601912118
236,-477.723840961,25.659747928,-452.064093033,1028.71821862
237,-496.264552492,43.6440197208,-452.620532771,1749.72093827
238,-512.816548175,59.1962035272,-453.620344648,2373.21945688
239,-524.92129337,70.7184399062,-454.202853464,2835.15441102
240,-532.091607911,75.9605524771,-456.131055434,3045.31457007
241,-535.487022264,81.7943834439,-453.69263882,3279.19715601
242,-543.153905983,88.2060258784,-454.947880105,3536.24462982
243,-549.825588331,93.7583498766,-456.067238454,3758.84139377
244,-543.908894203,91.426641593,-452.48225261,3665.36148904
245,-537.210772856,85.2322398138,-451.978533042,3417.02335331
246,-531.411668544,77.8879100484,-453.523758495,3122.58375654
247,-526.335612356,72.3531705247,-453.982441831,2900.69196713
248,-521.921500621,66.7471954336,-455.174305187,2675.9442913
249,-518.180509283,61.5098491917,-456.670660091,2465.97521789
250,-514.922355924,58.546363218,-456.375992706,2347.16687962
251,-512.147287968,55.5250403903,-456.622247577,2226.03981922
252,-509.803508005,52.4679091077,-457.335598897,2103.47717145
253,-507.896926168,50.8899512828,-457.006974886,2040.2156785
254,-506.42675606,48.555430924,-457.871325136,1946.6230356
255,-505.305516709,48.1207190085,-457.184797701,1929.19511431
256,-504.62691848,45.9650669128,-458.661851567,1842.77343198
257,-504.260676199,46.4459454001,-457.814730799,1862.05220519
258,-504.296373198,46.017887743,-458.278485455,1844.89105802
259,-504.657720266,46.9041750784,-457.753545188,1880.42297094
260,-505.348575236,45.7848639789,-459.563711257,1835.54896346
261,-506.420760072,46.3450552785,-460.075704794,1858.00744581
262,-507.878174981,46.1953481373,-461.682826843,1852.00557611
263,-509.681837076,46.0256783871,-463.656158689,1845.20339069
264,-511.998887766,49.8276914423,-462.171196324,1997.62889808
265,-514.688294668,51.1292023736,-463.559092295,2049.80743118
266,-517.804035053,51.6644339801,-466.139601073,2071.26526102
267,-521.458466248,56.1135014842,-465.344964764,2249.63165847
268,-525.587200636,58.56257984,-467.024620796,2347.81701596
269,-530.370960249,62.8562395614,-467.514720688,2519.95300078
270,-535.970899167,67.4437436374,-468.527155529,2703.8694225
271,-538.531153944,67.2754077365,-471.255746208,2697.12071208
272,-532.770543556,62.582156748,-470.188386808,2508.96481866
273,-526.01513354,58.3964823878,-467.618651152,2341.1580466
274,-523.981164329,53.7179920101,-470.263172319,2153.59391695
275,-521.252892367,50.4703383551,-470.782554012,2023.39308677
276,-516.605227672,47.3480501653,-469.257177507,1898.21825053
277,-510.057865811,40.9182396487,-469.139626162,1640.44240491
278,-502.029026024,34.8342404873,-467.194785537,1396.53039155
279,-494.093634243,26.7465272917,-467.347106951,1072.28800481
280,-487.822826108,20.23172247,-467.591103638,811.10467481
281,-484.921725675,17.9565327132,-466.965192962,719.890639497
282,-486.611241082,20.6306604914,-465.98058059,827.09839431
283,-492.072134182,25.506321153,-466.565813029,1022.56722605
284,-499.559336968,32.2457888244,-467.313548144,1292.75745539
285,-507.447947188,40.7792983934,-466.668648794,1634.87214751
286,-514.139234897,47.0039442042,-467.135290692,1884.42278877
287,-518.890202876,49.369733747,-469.520469129,1979.26903632
288,-521.712878501,51.8372863867,-469.875592115,2078.19504148
289,-523.096420747,54.5539883892,-468.542432358,2187.10962834
290,-528.079568931,58.908112827,-469.171456104,2361.66968824
291,-534.623580276,64.7040971613,-469.919483114,2594.03497477
292,-533.887528337,62.7294988891,-471.158029447,2514.87187376
293,-527.946281954,57.4677957018,-470.478486252,2303.92631245
294,-522.52319431,51.7060028944,-470.817191416,2072.93178945
295,-517.754992995,45.7585415215,-471.996451474,1834.49367674
296,-513.565958613,40.7155310454,-472.850427568,1632.3156675
297,-509.877171048,36.5805169461,-473.296654102,1466.53990267
298,-506.737403027,32.160840253,-474.576562773,1289.35180451
299,-504.003082972,28.2186132745,-475.784469697,1131.30501753
300,-501.59572304,25.0190779621,-476.576645078,1003.03328719
301,-499.445892465,23.1950464642,-476.250846,929.906519204
302,-497.494419459,21.4466822171,-476.047737242,859.813307112
303,-495.816869304,20.2291338281,-475.587735476,811.000894248
304,-494.348162013,18.4657647068,-475.882397307,740.306125682
305,-493.176575354,17.4536305845,-475.72294477,699.728922265
306,-492.142325636,16.4836985671,-475.658627068,660.84363236
307,-491.244181113,16.2250520708,-475.019129042,650.47430357
308,-490.524503616,15.5593292012,-474.965174415,623.784982755
309,-489.931734607,15.4888799414,-474.442854666,620.960619973
310,-489.477098913,14.7913399478,-474.685758965,592.995727191
311,-489.217384003,14.2945074317,-474.922876571,573.077345203
312,-489.107109252,14.3184203323,-474.78868892,574.036031022
313,-489.001969765,14.5589739121,-474.442995853,583.680001446
314,-489.07661788,14.123156118,-474.953461762,566.207744663
315,-489.279211125,14.1028662883,-475.176344837,565.394310426
316,-489.631624199,14.9680943678,-474.663529831,600.081942245
317,-490.159564144,15.9522059437,-474.2073582,639.535701108
318,-490.809569072,16.0902962411,-474.719272831,645.071842973
319,-491.509670445,16.1950857306,-475.314584714,649.27293089
320,-492.342904412,17.5814244054,-474.761480007,704.852270796
321,-493.239132485,17.6713082558,-475.567824229,708.455780648
322,-494.193562026,18.6768321507,-475.516729876,748.767975173
323,-495.268428434,18.8530619711,-476.415366463,755.83315864
324,-496.407425332,19.2002224655,-477.207202867,769.751078895
325,-497.645694432,19.8711009163,-477.774593516,796.647090765
326,-499.021065716,21.2924836993,-477.728582017,853.63137481
327,-500.500224292,22.4965821558,-478.003642136,901.904569958
328,-502.077081498,23.9529268963,-478.124154602,960.290504666
329,-503.735576347,25.6186226813,-478.116953666,1027.06947715
330,-505.56682775,28.6160658231,-476.950761927,1147.23918333
331,-507.451064486,28.7468362195,-478.704228267,1152.48186497
332,-509.472633405,30.9762783543,-478.496355051,1241.86184437
333,-511.614667395,32.6455960571,-478.969071337,1308.78602221
334,-513.858306369,33.9384279437,-479.919878425,1360.61660601
335,-516.235896272,36.3497914725,-479.886104799,1457.28994827
336,-518.755129335,38.5120041662,-480.243125169,1543.9746498
337,-521.445268455,42.0685597676,-479.376708688,1686.55958684
338,-524.240597676,43.8644324759,-480.3761652,1758.55744818
339,-527.16038509,45.9462575038,-481.214127586,1842.01934891
340,-530.320381409,49.8987244678,-480.421656941,2000.47666446
341,-533.783456344,54.9813523485,-478.802103995,2204.24296465
342,-537.487480651,57.3774178299,-480.110062822,2300.30299691
343,-541.469856521,60.4274164167,-481.042440104,2422.57968965
344,-545.708917548,62.768556973,-482.940360575,2516.43774115
345,-550.420612888,68.1744039474,-482.246208941,2733.16213319
346,-552.328795836,71.7458781081,-480.582917728,2876.34516627
347,-548.994154393,69.3054985999,-479.688655793,2778.508552
348,-543.737467262,65.3758255397,-478.361641723,2620.96506086
349,-540.307096915,61.9262881137,-478.380808802,2482.6705614
350,-539.218536097,59.0106976952,-480.207838401,2365.78239127
351,-538.584042338,58.4096357925,-480.174406545,2341.6853763
352,-537.674589298,58.3491141854,-479.325475113,2339.25902043
353,-536.664042821,57.8589950003,-478.80504782,2319.60978084
354,-535.782954425,57.5584282782,-478.224526147,2307.55983928
355,-535.077408131,57.9762355858,-477.101172546,2324.31004238
356,-534.920012989,57.0586017091,-477.86141128,2287.5214235
357,-535.353898821,58.1688717974,-477.185027024,2332.03297017
